Ranking,Puntaje,MoH,Clase,Region
1,99,H,NO,SI
2,98,M,NO,SI
3,98,M,SI,SI
4,97,M,SI,SI
5,96,M,NO,SI
6,95,M,SI,NO
7,95,H,SI,SI
8,94,M,SI,SI
9,93,M,NO,NO
10,92,H,NO,SI
11,91,H,NO,NO
12,89,H,SI,NO
13,88,H,SI,NO
14,85,M,NO,NO
15,85,H,SI,SI
16,85,M,SI,SI
17,84,M,SI,NO
18,84,M,NO,NO
19,83,H,SI,SI
20,83,M,NO,SI
21,81,M,NO,SI
22,80,H,NO,NO
23,77,M,SI,SI
24,75,M,SI,NO
25,75,H,NO,NO
26,75,M,SI,SI
27,74,M,SI,NO
28,74,M,NO,SI
29,72,M,SI,NO
30,72,M,NO,NO
31,72,H,NO,SI
32,70,H,NO,SI
33,69,M,SI,SI
34,69,H,NO,NO
35,68,H,NO,NO
36,66,H,NO,SI
37,65,M,SI,SI
38,65,M,SI,SI
39,64,M,SI,SI
40,63,M,NO,SI
41,62,H,SI,SI
42,62,M,NO,SI
43,61,H,NO,SI
44,61,H,SI,NO
45,60,H,SI,NO
46,59,M,SI,NO
47,59,H,NO,NO
48,57,H,SI,SI
49,56,H,NO,SI
50,56,H,SI,NO
51,56,H,SI,NO
52,55,H,SI,SI
53,54,M,NO,NO
54,51,M,SI,SI
55,51,M,NO,SI
56,50,H,SI,SI
57,49,M,NO,NO
58,48,H,SI,NO
59,47,M,NO,SI
60,47,H,NO,NO
61,45,M,NO,NO
62,44,M,SI,SI
63,44,M,NO,NO
64,44,M,NO,SI
65,43,H,NO,SI
66,43,M,NO,SI
67,43,M,SI,NO
68,43,M,NO,SI
69,41,H,NO,NO
70,40,H,SI,NO
71,39,H,SI,SI
72,38,M,NO,SI
73,38,H,SI,NO
74,36,H,NO,NO
75,35,M,SI,SI
76,35,M,SI,NO
77,33,H,SI,NO
78,32,H,NO,NO
79,32,M,NO,SI
80,30,M,SI,SI
81,30,H,NO,SI
82,29,H,SI,SI
83,26,M,SI,SI
84,25,H,SI,NO
85,22,H,NO,SI
86,21,M,NO,SI
87,20,H,SI,SI
88,19,M,NO,NO
89,18,H,SI,NO
90,16,H,SI,NO
91,13,M,SI,SI
92,11,H,SI,SI
93,11,M,NO,NO
94,11,M,SI,NO
95,10,M,SI,SI
96,5,M,SI,SI
97,4,H,SI,NO
98,4,M,NO,SI
99,1,M,NO,SI
100,1,H,NO,NO
