Ranking,Puntaje,MoH,Clase,Region,Edades
1,99,M,SI,SI,57
2,94,M,SI,NO,51
3,93,H,NO,NO,30
4,92,M,SI,SI,55
5,91,H,SI,NO,26
6,90,M,SI,SI,24
7,90,M,SI,NO,31
8,90,H,NO,SI,22
9,89,M,SI,NO,25
10,88,M,SI,NO,24
11,88,M,NO,SI,23
12,87,M,SI,NO,41
13,87,M,NO,SI,46
14,87,H,NO,SI,39
15,86,H,NO,SI,24
16,86,M,SI,NO,49
17,84,M,SI,NO,33
18,84,H,NO,NO,43
19,81,H,NO,SI,24
20,80,H,NO,SI,61
21,79,H,NO,NO,59
22,78,M,SI,SI,64
23,77,H,SI,SI,51
24,77,M,NO,NO,26
25,77,H,SI,NO,47
26,77,M,SI,SI,56
27,75,H,NO,SI,43
28,75,H,NO,NO,59
29,73,H,NO,SI,37
30,70,M,NO,NO,56
31,67,H,NO,SI,25
32,65,M,SI,SI,34
33,65,M,NO,SI,40
34,64,H,NO,SI,51
35,62,M,NO,SI,44
36,62,M,SI,NO,39
37,62,M,NO,NO,55
38,61,H,SI,SI,22
39,60,H,NO,SI,37
40,58,H,NO,NO,24
41,58,M,SI,NO,40
42,53,M,SI,NO,36
43,53,H,NO,SI,56
44,52,H,SI,NO,35
45,52,H,NO,NO,33
46,52,H,SI,SI,65
47,52,M,SI,NO,57
48,51,M,NO,SI,37
49,51,H,NO,NO,55
50,50,M,NO,NO,36
51,49,M,SI,SI,23
52,48,M,SI,NO,58
53,48,M,SI,SI,23
54,48,H,NO,NO,45
55,48,M,SI,NO,47
56,48,H,SI,NO,28
57,44,M,SI,NO,44
58,43,H,NO,NO,45
59,43,H,NO,SI,58
60,41,H,NO,SI,28
61,41,H,SI,NO,52
62,38,H,NO,SI,58
63,38,H,NO,SI,30
64,38,M,SI,SI,51
65,37,M,NO,SI,33
66,36,H,NO,SI,40
67,35,H,SI,SI,35
68,34,H,NO,SI,30
69,34,H,SI,NO,31
70,33,M,NO,NO,43
71,33,H,SI,SI,28
72,33,H,NO,SI,42
73,33,M,SI,NO,48
74,32,M,SI,NO,52
75,32,H,SI,SI,43
76,30,H,NO,SI,23
77,30,H,NO,SI,29
78,29,M,SI,SI,46
79,29,M,SI,NO,63
80,28,H,SI,SI,38
81,27,H,SI,NO,61
82,25,H,SI,NO,43
83,24,M,SI,SI,37
84,24,H,SI,NO,53
85,23,M,NO,NO,65
86,22,M,SI,SI,25
87,20,H,NO,SI,52
88,18,H,SI,SI,53
89,17,H,SI,SI,34
90,14,M,NO,NO,40
91,8,H,NO,NO,50
92,7,M,SI,NO,58
93,7,H,SI,SI,54
94,7,M,SI,SI,36
95,6,H,NO,NO,32
96,5,M,SI,SI,42
97,2,M,NO,NO,58
98,2,M,NO,NO,40
99,1,M,NO,SI,50
100,1,M,NO,SI,65
