Ranking,Puntaje,MoH,Clase,Region,Edades
1,99,H,NO,SI,36
2,98,M,NO,SI,36
3,98,M,SI,SI,43
4,97,M,SI,SI,52
5,96,M,NO,SI,49
6,95,M,SI,NO,49
7,95,H,SI,SI,34
8,94,M,SI,SI,44
9,93,M,NO,NO,22
10,92,H,NO,SI,38
11,91,H,NO,NO,58
12,89,H,SI,NO,53
13,88,H,SI,NO,27
14,85,M,NO,NO,30
15,85,H,SI,SI,22
16,85,M,SI,SI,64
17,84,M,SI,NO,36
18,84,M,NO,NO,39
19,83,H,SI,SI,34
20,83,M,NO,SI,58
21,81,M,NO,SI,46
22,80,H,NO,NO,34
23,77,M,SI,SI,53
24,75,M,SI,NO,56
25,75,H,NO,NO,56
26,75,M,SI,SI,45
27,74,M,SI,NO,47
28,74,M,NO,SI,33
29,72,M,SI,NO,26
30,72,M,NO,NO,55
31,72,H,NO,SI,56
32,70,H,NO,SI,33
33,69,M,SI,SI,32
34,69,H,NO,NO,45
35,68,H,NO,NO,23
36,66,H,NO,SI,33
37,65,M,SI,SI,57
38,65,M,SI,SI,24
39,64,M,SI,SI,28
40,63,M,NO,SI,38
41,62,H,SI,SI,48
42,62,M,NO,SI,52
43,61,H,NO,SI,26
44,61,H,SI,NO,41
45,60,H,SI,NO,52
46,59,M,SI,NO,62
47,59,H,NO,NO,60
48,57,H,SI,SI,42
49,56,H,NO,SI,48
50,56,H,SI,NO,52
51,56,H,SI,NO,24
52,55,H,SI,SI,57
53,54,M,NO,NO,56
54,51,M,SI,SI,58
55,51,M,NO,SI,47
56,50,H,SI,SI,64
57,49,M,NO,NO,46
58,48,H,SI,NO,41
59,47,M,NO,SI,38
60,47,H,NO,NO,48
61,45,M,NO,NO,37
62,44,M,SI,SI,30
63,44,M,NO,NO,24
64,44,M,NO,SI,34
65,43,H,NO,SI,44
66,43,M,NO,SI,36
67,43,M,SI,NO,22
68,43,M,NO,SI,40
69,41,H,NO,NO,45
70,40,H,SI,NO,64
71,39,H,SI,SI,44
72,38,M,NO,SI,39
73,38,H,SI,NO,22
74,36,H,NO,NO,64
75,35,M,SI,SI,31
76,35,M,SI,NO,55
77,33,H,SI,NO,31
78,32,H,NO,NO,26
79,32,M,NO,SI,61
80,30,M,SI,SI,45
81,30,H,NO,SI,48
82,29,H,SI,SI,60
83,26,M,SI,SI,58
84,25,H,SI,NO,36
85,22,H,NO,SI,28
86,21,M,NO,SI,61
87,20,H,SI,SI,44
88,19,M,NO,NO,58
89,18,H,SI,NO,51
90,16,H,SI,NO,61
91,13,M,SI,SI,52
92,11,H,SI,SI,47
93,11,M,NO,NO,52
94,11,M,SI,NO,61
95,10,M,SI,SI,62
96,5,M,SI,SI,23
97,4,H,SI,NO,51
98,4,M,NO,SI,47
99,1,M,NO,SI,24
100,1,H,NO,NO,36
